,Precision,Recall,Accuracy,Dice,IoU
0,0.7760601629412993,0.6329329585143538,0.14807876275510204,0.6972270445268146,0.5351869192537636
1,0.5935037346673062,0.6243962223343666,0.1726124043367347,0.6085581787521079,0.4373579760642327
2,0.4362186274951561,0.9169350255730252,0.19294084821428573,0.5911880553265549,0.4196358907672302
3,0.5274891365955034,0.6802013967841481,0.1669323979591837,0.5941900471748306,0.42266740677196346
4,0.40843595187544235,0.9357893371384096,0.2875478316326531,0.5686695701870209,0.3973013906099408
5,0.5622840753536276,0.8552448939123538,0.17191485969387754,0.6784913674440556,0.5134218201297542
6,0.7383110423344755,0.8696133315974482,0.26624282525510207,0.7986011477761836,0.664726078519182
7,0.7217870362399931,0.7622034360512681,0.16711176658163265,0.7414448669201521,0.5891238670694864
8,0.4473455682278701,0.5357043815862451,0.15399792729591838,0.4875540271950027,0.3223612849395077
9,0.3881333134060678,0.9084390030607783,0.20703125,0.5438885834707715,0.3735212685627989
10,0.46083246692718605,0.8209746439292329,0.2561782525510204,0.5903099885189438,0.4187516288767266
11,0.4445820859571247,0.9125582709422235,0.2574936224489796,0.5978851893842986,0.42641671342288523
12,0.4848675517523438,0.6087849581292464,0.15357940051020408,0.5398059612623025,0.36968097865195493
13,0.1962633940837073,0.46580205767280103,0.12812898596938777,0.2761657252088748,0.16020433590829802
14,0.5248207690636542,0.9084328288051142,0.19258211096938777,0.6652896829494991,0.4984524914887032
15,0.5000747898405481,0.9934624985142042,0.33314732142857145,0.6652737150020894,0.49843456480901693
16,0.5255992173487689,0.5479813004674883,0.12848772321428573,0.5365569472764347,0.366640127388535
17,0.5995931363877587,0.5878425251474159,0.1351044323979592,0.5936596899903669,0.42213089233451645
18,0.43889814106314984,0.7921845803883337,0.1943359375,0.564849678503157,0.3935822401614531
19,0.44532332142596776,0.855831873905429,0.24348294005102042,0.585820806061042,0.4142479316424793
20,0.4547624619705125,0.7252369933567216,0.19363839285714285,0.5590012082158679,0.3879262157629961
21,0.46071149335418293,0.9290500591249508,0.23487324617346939,0.6159675944074219,0.44505287009063443
22,0.2409437768616788,0.42118981907390374,0.10949457908163265,0.30653350443564137,0.18100948866631522
23,0.6168951728077692,0.7618165784832451,0.17217394770408162,0.6817392676767676,0.5171505537264293
24,0.612888986978592,0.8226929343800918,0.22138073979591838,0.7024600012647821,0.5413783019787504
25,0.5202810372301898,0.9539176626826029,0.286312181122449,0.6733220847394076,0.5075249063802727
26,0.5247107859816263,0.8061817944193949,0.24587452168367346,0.6356820816694577,0.4659339829292243
27,0.5998985229450896,0.8877116876616334,0.2120735012755102,0.7159629941126997,0.5575875078599875
28,0.4907011602731361,0.7301338179415165,0.17615991709183673,0.5869384773730868,0.41536654135338347
29,0.3438167346146379,0.3751588758649908,0.10588727678571429,0.35880465980077664,0.21862398156530327
30,0.1795230384219049,0.22728543472183393,0.04860889668367347,0.20060040301023974,0.11148185391717708
31,0.8802807396409772,0.6532451923076923,0.12998246173469388,0.7499568792042776,0.5999448072854383
32,0.5511430437622469,0.7429778990930703,0.16816804846938777,0.6328420894738815,0.46288880355477535
33,0.5240102259379534,0.683181695342762,0.15114795918367346,0.593102369594119,0.4215675375208449
34,0.506132034443768,0.8019570011025359,0.23194355867346939,0.6205940382872074,0.44989948971702487
35,0.49224806201550386,0.8371995994659546,0.1999561543367347,0.619971575109683,0.44924551112703176
36,0.4037044896474369,0.9722566985471272,0.26540577168367346,0.5705166652386257,0.39910690202895077
37,0.757941437444543,0.45301230377598645,0.08512037627551021,0.5670849100444798,0.3957561156412157
38,0.5794182374892355,0.8512687144162507,0.2413703762755102,0.6895157846793247,0.5261534451298984
39,0.5121787630612821,0.953410435011171,0.28916214923469385,0.6663757865245947,0.49967283121534595
40,0.4215835817791028,0.8371308597783438,0.24236686862244897,0.5607636086966546,0.3896257849545047
41,0.360187040748163,0.8002374591867023,0.1611926020408163,0.49677538234752167,0.3304731551850944
42,0.6970245795601553,0.7080777991939723,0.1610730229591837,0.7025077143726368,0.541434983586789
43,0.5224585088565193,0.897393426902624,0.2051578443877551,0.6604221466606788,0.49300766283524905
44,0.7723843633315552,0.8092614770459082,0.20200892857142858,0.7903930131004366,0.6534296028880866
45,0.34562647754137116,0.8428456128213997,0.14568718112244897,0.49022566475539014,0.32470128370274953
46,0.47326161521671345,0.5085867470888833,0.12099410076530612,0.4902887139107612,0.3247566063977747
47,0.3706723338485317,0.6376204719175806,0.19118702168367346,0.4688087965791081,0.3061726030894932
48,0.5109928257347837,0.7815237589593841,0.1760204081632653,0.6179464754241735,0.4471219561585582
49,0.526023563399991,0.8417364923432534,0.23224250637755103,0.6474428424590938,0.47868057837660205
50,0.43414634146341463,0.7791639308382579,0.21285076530612246,0.5576004385621427,0.386578347268976
51,0.5409020471413425,0.6110752787247765,0.1321747448979592,0.5738513455048888,0.4023783521417304
52,0.4803267690121946,0.8924329080510339,0.24256616709183673,0.6245221540908741,0.4540401402671044
53,0.38237425713871576,0.6624811652435962,0.15772480867346939,0.48488190423674293,0.3200291156132476
54,0.6895800933125972,0.9218295218295218,0.26510682397959184,0.7889679715302491,0.6514839847193653
55,0.510832742456472,0.9561541486433346,0.38767538265306123,0.6659021275867381,0.49914038644119985
56,0.6405207426747896,0.8716012830002468,0.35202088647959184,0.7384042975690307,0.585293922725164
57,0.6052534562211982,0.6478887134964483,0.13087930484693877,0.6258458019632136,0.4554407379152507
58,0.5544479685848059,0.9073906237126144,0.2194874043367347,0.6883125,0.5247534187830561
59,0.5636392124092547,0.8551505546751189,0.2150829081632653,0.6794472251078163,0.5145172824791419
60,0.6018810397395483,0.9141354681736128,0.23212292729591838,0.7258506792970211,0.5696747370995353
61,0.3869740796393689,0.6702179570592063,0.16424186862244897,0.490652536318171,0.32507593388820955
62,0.5716768435885392,0.8418759078647022,0.24256616709183673,0.6809522477410692,0.5162453342382084
63,0.38360435875943,0.8978967195102809,0.22801737882653061,0.5375525641929194,0.3675705198226563
64,0.5617780528052805,0.9546928402418718,0.21711575255102042,0.707333701262864,0.5471897131950374
65,0.2817178143712575,0.36159481205716343,0.12001753826530612,0.31669734420194584,0.18814046488377906
66,0.3848733233979136,0.701528013582343,0.12352519132653061,0.4970528088536028,0.33071874499759885
67,0.6872455902306649,0.7834493426140758,0.16151147959183673,0.7322009396458258,0.5775370581527937
68,0.5670411213026899,0.8845659163987138,0.21930803571428573,0.6910758022985618,0.5279723634967853
69,0.8026619343389529,0.4890787197231834,0.09014269770408163,0.6078075656789625,0.4365830115830116
70,0.4518332953769073,0.938949361097965,0.2372448979591837,0.6100861008610086,0.4389380530973451
71,0.23546279321205282,0.3416081293050535,0.09982860331632654,0.27877337488869103,0.161962039641737
72,0.3953360600695928,0.9762568779678903,0.2581313775510204,0.5627756414434378,0.3915711823925991
73,0.12370066357255188,0.2571565265927757,0.06427375637755102,0.16704651403708692,0.09113516263034448
74,0.4525995781114282,0.9258201662542039,0.2907764668367347,0.6079799979164496,0.43676096392755576
75,0.6497089344469754,0.8163719628545987,0.2557995854591837,0.7235673816839079,0.5668668845508348
76,0.5327264451524807,0.4671136653895275,0.11662946428571429,0.49776719261685026,0.3313515655965121
77,0.4888899576760292,0.7294581987800502,0.20258689413265307,0.5854234457338671,0.4138506636267405
78,0.5853325318323406,0.7671537029078929,0.2134685905612245,0.6640215740367627,0.497030162412993
79,0.460688140556369,0.8904768642988539,0.25083705357142855,0.6072272880783519,0.435984481086324
80,0.2668335989073526,0.3915948419857019,0.11680883290816327,0.3173941297519766,0.18863248688487658
81,0.3943395466806232,0.6379860613560867,0.19521285076530612,0.48741042993630573,0.32223574694871204
82,0.482154320195147,0.6110478359908884,0.14969308035714285,0.5390025116612845,0.3689277469423842
83,0.5340883713510927,0.9331140962042249,0.33364556760204084,0.6793409893275981,0.5143954524504533
84,0.6404797197143243,0.8759675635827497,0.2841796875,0.7399392854362886,0.5872251050160613
85,0.2990088718957645,0.7639415781487102,0.16053491709183673,0.42979484032761517,0.2737189071632459
86,0.22509752925877763,0.4096395046146565,0.10349569515306123,0.290541863652894,0.1699613798520652
87,0.6662677039696788,0.6873842354393909,0.19969706632653061,0.6766612641815235,0.511328842620943
88,0.35746038387113643,0.5243977290164186,0.13622050382653061,0.4251282848701602,0.2699447077409163
89,0.3984361348942862,0.6552442528735632,0.18178013392857142,0.49554493100076064,0.3293849987360514
90,0.6557618626584144,0.8739198743126473,0.22171954719387754,0.7492843913116687,0.5990845449649973
91,0.4778558068955782,0.8824372759856631,0.26987005739795916,0.6199807701112586,0.4492551673799808
92,0.46082488290664364,0.7412771560236998,0.20196906887755103,0.5683360439683697,0.3969758696333438
93,0.6435272045028143,0.8725586738880683,0.2119140625,0.7407433209098192,0.5882385483514052
94,0.45037985760311844,0.9857229912074519,0.2256656568877551,0.6182701758217757,0.4474609760916815
95,0.7126448729276025,0.8862461220268872,0.2732780612244898,0.790021029585458,0.6529212894624066
96,0.5141977188885505,0.6957776149477927,0.3027941645408163,0.5913629021271627,0.4198121027908262
97,0.3215106260769673,0.7893994593959337,0.2677375637755102,0.4569232339036087,0.2961117968612238
98,0.7516683076249864,0.7414481493471458,0.13693797831632654,0.7465232507605389,0.5955621045332409
99,0.3256760550201179,0.9959937043926169,0.2774633290816326,0.4908507562669675,0.3252499766376974
100,0.015304394934651588,0.016316511443217097,0.0045041454081632655,0.015794255363757077,0.007959988729219498
101,0.27056183029249925,0.3140072262835056,0.07447783801020408,0.2906700890600086,0.17004914452129596
102,0.5180511286020946,0.745065020114136,0.15872130102040816,0.6111580078274883,0.44004862415736545
103,0.5785374296841195,0.6660577881102624,0.15987723214285715,0.6192203782323428,0.44845706618962433
104,0.5953270084779976,0.9067640276710223,0.2351124043367347,0.7187595198927679,0.5609872081411384
105,0.10713243164347572,0.20324903082887208,0.04388552295918367,0.1403083981139289,0.07544713218666484
106,0.6748913671032241,0.9415006358626536,0.4426419005102041,0.7862086054620436,0.647729592580711
107,0.9942666913260588,0.4956361401352182,0.32142857142857145,0.6615122741535243,0.49422363864799435
108,0.36051443049129767,0.9281764038570618,0.2609016262755102,0.5193192637258013,0.3507300736771601
109,0.595808285946385,0.9203433217888872,0.36543367346938777,0.7233421436743067,0.5665904455843273
110,0.6577061897322631,0.8681029579067122,0.2433235012755102,0.7483985656051736,0.5979527867567832
111,0.5212692040453949,0.9888693614528412,0.26913265306122447,0.6826752944744957,0.5182285670427508
112,0.848653807514567,0.829772604488974,0.33671476403061223,0.8391070053887606,0.7228116710875332
113,0.6027249468265466,0.9777477747774778,0.38968829719387754,0.7457426724384523,0.5945691175576233
114,0.5172355238580404,0.9613078331124156,0.303531568877551,0.6725843490549372,0.5066870716614545
115,0.5348183230962776,0.8827948451719294,0.28806600765306123,0.666098297195788,0.49936085679737435
116,0.4481114944615943,0.7315645149336694,0.19672751913265307,0.5557839024802229,0.38483430799220275
117,0.4135590024044128,0.6242972030460465,0.17482461734693877,0.49753275480687426,0.33114382785956964
118,0.5504993460944002,0.9882610319620084,0.36912069515306123,0.7071108141643601,0.5469229860618946
119,0.6674209308305477,0.9210787792760823,0.25864955357142855,0.7739973162367676,0.6313177992897796
120,0.5019365127582017,0.9334792740625663,0.26345264668367346,0.6528384818628541,0.4846029767578268
121,0.5939240781500502,0.9361802372895875,0.4356066645408163,0.726773957571324,0.57081298477449
122,0.9441764300482426,0.33138034831219093,0.24573501275510204,0.49058030119163665,0.32501252075809894
123,0.3920228432673067,0.9998279717873731,0.3474968112244898,0.5632146779507721,0.3919964028776978
124,0.4734891273651511,0.9997018707609748,0.2673190369897959,0.6426158821415738,0.47342227869546805
125,0.6498202930605474,0.7193487176348167,0.2342155612244898,0.6828191273023066,0.5183943537715042
126,0.3085617406046906,0.3538102643856921,0.10881696428571429,0.32964047453738643,0.1973470199154227
127,0.8190397245424983,0.8470161556214969,0.25599888392857145,0.8327930497925311,0.7134921957451535
128,0.6034968654742049,0.8357626443647949,0.20912388392857142,0.7008883842094716,0.5395135996709343
129,0.4570736401951349,0.8748650193736899,0.2744937818877551,0.6004446769552707,0.42902532473600596
130,0.5813098577923963,0.5412538281390741,0.11975845025510204,0.5605671906338915,0.3894361633182113
131,0.6835479531039784,0.6682010333489902,0.1417610012755102,0.6757873735214479,0.5103314679294016
132,0.7517103590240358,0.9340254269164222,0.24744897959183673,0.8330090573633009,0.7138093595492698
133,0.48165347137637027,0.8646986469864698,0.2521922831632653,0.6186867452207501,0.4478974939827269
134,0.8305429864253394,0.7334665334665335,0.1463249362244898,0.7789920424403183,0.6379909628084811
135,0.3591585808458633,0.37697271243100366,0.09663982780612244,0.3678500986193294,0.2253776435045317
136,,0.0,0.0,0.0,0.0
137,0.47557251908396947,0.8426510369702435,0.11174665178571429,0.6080026024723487,0.43678429539612057
138,0.5795291872117067,0.6405590717299579,0.14522879464285715,0.608517745302714,0.43731620956610456
139,0.43186011774009314,0.8978808914870295,0.19591039540816327,0.5832097300504301,0.41164154103852596
140,0.3317941056634524,0.7654108247826428,0.19475446428571427,0.4629195385963666,0.30116805868030944
141,0.8075785052973179,0.8948704389212057,0.16862643494897958,0.8489865542845675,0.7375991631069654
142,0.6386550410903988,0.8288891779396462,0.25400589923469385,0.7214423185780595,0.5642626289458538
143,0.4291420231968661,0.8279490219324244,0.22269610969387754,0.5652855769717205,0.39400564174894215
144,0.3152098037694873,0.3502542445919159,0.08099489795918367,0.3318092749836708,0.19890368050117463
145,0.3768493150684932,0.9216080402010051,0.21930803571428573,0.5349538162372387,0.3651446774621715
146,0.5676168883236099,0.9739076806300109,0.40913982780612246,0.7172204171470495,0.5591143067244055
147,0.5587832424469542,0.9976467331118494,0.4309032206632653,0.7163422513045639,0.5580476977080322
148,0.46259657898262696,0.9966323486962378,0.41286670918367346,0.6318936066373841,0.46187460982787837
149,0.29679615068653914,0.8969145289041258,0.1512077487244898,0.4460055258362236,0.28700586343862305
150,0.5986964618249534,0.8234206033010814,0.23066804846938777,0.6933029831077033,0.5305766938663243
151,0.5033670603363677,0.9880438392560611,0.2964564732142857,0.6669506344437968,0.500319531801823
152,0.38534325563057514,0.5897126480126706,0.15583147321428573,0.4661102831594635,0.3038747036648401
153,0.4032926357659798,0.8902981889139582,0.29097576530612246,0.5551225261877151,0.38420041577853214
154,0.5989796433803102,0.824330900243309,0.236328125,0.6938154584284126,0.531177208385594
155,0.45303911842775557,0.9939996470380611,0.3367546237244898,0.6224031236186828,0.45180352415839997
156,0.527151716835577,0.979138863524619,0.2778220663265306,0.6853322189720017,0.5212968849332485
157,0.24708693550985342,0.6806449227128171,0.18341438137755103,0.36255835483680343,0.2214175728996247
158,0.5074850299401198,0.7932298572654239,0.20268654336734693,0.618970816469371,0.44819531973028953
159,0.612765770514848,0.9356721223504159,0.2780014349489796,0.7405500106179655,0.5879947730051005
160,0.24286172601860764,0.4878026327902053,0.10560825892857142,0.32427636007588273,0.19351422415367198
161,0.34868001160429357,0.9162918350232523,0.23953683035714285,0.5051379578456301,0.3379161043634728
162,0.6965411346371424,0.6030224585461414,0.17177535076530612,0.6464169197885027,0.4775598404255319
163,0.18722814581007738,0.34147711317045776,0.09693877551020408,0.2418516769012754,0.13756045137023107
